죄종별,항목,단위,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년
총계,발생건수,건,1752598,1793400,1857276,1778966,1861657,1849450,1662341
총계,검거건수,건,1382463,1370121,1420658,1392112,1500234,1552455,1413717
총계,검거율,%,78.9,76.4,76.5,78.3,80.6,83.9,85
총계,검거인원,명,1902722,1928795,1962718,1930325,1999065,2029873,1833495
총계,남자검거인원,명,1484584,1480803,1503465,1462970,1487695,1542900,1387401
총계,여자검거인원,명,330649,331330,326987,328094,342480,353591,332831
총계,불상검거인원,명,87489,116662,132266,139261,168890,133382,113263
총계,법인체,개,10327,11024,12171,11378,11558,12543,12806
강력범죄,발생건수,건,26699,25152,26962,25277,25334,25765,27274
강력범죄,검거건수,건,22426,21187,23937,23897,24373,24897,26334
강력범죄,검거율,%,84,84.2,88.8,94.5,96.2,96.6,96.6
강력범죄,검거인원,명,25884,24670,26141,25671,26334,27487,29353
강력범죄,남자검거인원,명,24210,23124,24712,24459,25092,26278,28038
강력범죄,여자검거인원,명,1136,993,944,902,964,982,1089
강력범죄,불상검거인원,명,538,553,485,310,278,227,226
강력범죄,법인체,개,-,-,,1,,2,-
살인기수,발생건수,건,427,411,342,372,365,356,301
살인기수,검거건수,건,395,395,334,364,357,348,301
살인기수,검거율,%,92.5,96.1,97.7,97.8,97.8,97.8,100
살인기수,검거인원,명,452,454,385,459,407,386,354
살인기수,남자검거인원,명,367,350,307,344,307,304,276
살인기수,여자검거인원,명,82,101,77,105,89,82,72
살인기수,불상검거인원,명,3,3,1,10,11,-,6
살인기수,법인체,개,-,-,,,,-,-
살인,발생건수,건,342,340,299,306,312,282,245
살인,검거건수,건,318,326,289,299,304,277,248
살인,검거율,%,93,95.9,96.7,97.7,97.4,98.2,101.2
살인,검거인원,명,355,380,329,371,347,306,288
살인,남자검거인원,명,298,305,267,296,276,246,231
살인,여자검거인원,명,56,72,61,68,60,60,52
살인,불상검거인원,명,1,3,1,7,11,-,5
살인,법인체,개,-,-,,,,-,-
영아살해,발생건수,건,12,16,6,11,13,8,8
영아살해,검거건수,건,9,15,6,11,12,7,7
영아살해,검거율,%,75,93.8,100,100,92.3,87.5,87.5
영아살해,검거인원,명,13,15,6,12,14,7,11
영아살해,남자검거인원,명,3,-,,,2,-,2
영아살해,여자검거인원,명,10,15,6,12,12,7,9
영아살해,불상검거인원,명,-,-,,,,-,-
영아살해,법인체,개,-,-,,,,-,-
존속살해,발생건수,건,48,32,28,36,24,32,25
존속살해,검거건수,건,46,32,28,36,24,31,26
존속살해,검거율,%,95.8,100,100,100,100,96.9,104
존속살해,검거인원,명,53,33,37,50,24,31,26
존속살해,남자검거인원,명,44,27,30,34,20,27,25
존속살해,여자검거인원,명,9,6,7,16,4,4,1
존속살해,불상검거인원,명,-,-,,,,-,-
존속살해,법인체,개,-,-,,,,-,-
촉탁·승낙살인,발생건수,건,1,3,,3,1,1,1
촉탁·승낙살인,검거건수,건,1,3,,3,1,1,-
촉탁·승낙살인,검거율,%,100,100,,100,100,100,-
촉탁·승낙살인,검거인원,명,1,3,,5,1,1,1
촉탁·승낙살인,남자검거인원,명,1,3,,2,1,1,1
촉탁·승낙살인,여자검거인원,명,-,-,,2,,-,-
촉탁·승낙살인,불상검거인원,명,-,-,,1,,-,-
촉탁·승낙살인,법인체,개,-,-,,,,-,-
자살교사·방조,발생건수,건,21,20,7,16,15,33,22
자살교사·방조,검거건수,건,19,19,9,15,16,32,20
자살교사·방조,검거율,%,90.5,95,128.6,93.8,106.7,97,90.9
자살교사·방조,검거인원,명,25,23,10,21,21,41,28
자살교사·방조,남자검거인원,명,18,15,9,12,8,30,17
자살교사·방조,여자검거인원,명,5,8,1,7,13,11,10
자살교사·방조,불상검거인원,명,2,-,,2,,-,1
자살교사·방조,법인체,개,-,-,,,,-,-
위계·위력·촉탁·승낙살인,발생건수,건,3,-,2,,,-,-
위계·위력·촉탁·승낙살인,검거건수,건,2,-,2,,,-,-
위계·위력·촉탁·승낙살인,검거율,%,66.7,-,100,,,-,-
위계·위력·촉탁·승낙살인,검거인원,명,5,-,3,,,-,-
위계·위력·촉탁·승낙살인,남자검거인원,명,3,-,1,,,-,-
위계·위력·촉탁·승낙살인,여자검거인원,명,2,-,2,,,-,-
위계·위력·촉탁·승낙살인,불상검거인원,명,-,-,,,,-,-
위계·위력·촉탁·승낙살인,법인체,개,-,-,,,,-,-
특가법(보복살인등),발생건수,건,,,,,,-,-
특가법(보복살인등),검거건수,건,,,,,,-,-
특가법(보복살인등),검거율,%,,,,,,-,-
특가법(보복살인등),검거인원,명,,,,,,-,-
특가법(보복살인등),남자검거인원,명,,,,,,-,-
특가법(보복살인등),여자검거인원,명,,,,,,-,-
특가법(보복살인등),불상검거인원,명,,,,,,-,-
특가법(보복살인등),법인체,개,,,,,,-,-
살인미수등,발생건수,건,777,584,587,541,564,558,524
살인미수등,검거건수,건,759,576,579,537,552,561,525
살인미수등,검거율,%,97.7,98.6,98.6,99.3,97.9,100.5,100.2
살인미수등,검거인원,명,846,630,639,585,605,621,567
살인미수등,남자검거인원,명,750,553,569,518,527,557,499
살인미수등,여자검거인원,명,86,68,61,63,69,61,64
살인미수등,불상검거인원,명,10,9,9,4,9,3,4
살인미수등,법인체,개,-,-,,,,-,-
살인,발생건수,건,752,559,559,515,518,527,489
살인,검거건수,건,734,551,552,512,508,530,489
살인,검거율,%,97.6,98.6,98.7,99.4,98.1,100.6,100
살인,검거인원,명,812,601,611,558,554,576,513
살인,남자검거인원,명,730,532,549,498,487,523,456
살인,여자검거인원,명,72,60,54,57,58,50,53
살인,불상검거인원,명,10,9,8,3,9,3,4
살인,법인체,개,-,-,,,,-,-
영아살해,발생건수,건,-,-,1,,3,-,-
영아살해,검거건수,건,-,-,1,,3,-,-
영아살해,검거율,%,-,-,100,,100,-,-
영아살해,검거인원,명,-,-,1,,4,1,-
영아살해,남자검거인원,명,-,-,,,,1,-
영아살해,여자검거인원,명,-,-,1,,4,-,-
영아살해,불상검거인원,명,-,-,,,,-,-
영아살해,법인체,개,-,-,,,,-,-
존속살해,발생건수,건,20,18,21,24,31,23,23
존속살해,검거건수,건,20,18,21,23,30,22,24
존속살해,검거율,%,100,100,100,95.8,96.8,95.7,104.3
존속살해,검거인원,명,24,19,19,23,34,26,24
존속살해,남자검거인원,명,13,17,16,18,29,20,19
존속살해,여자검거인원,명,11,2,3,4,5,6,5
존속살해,불상검거인원,명,-,-,,1,,-,-
존속살해,법인체,개,-,-,,,,-,-
촉탁·승낙살인,발생건수,건,-,1,,,,-,-
촉탁·승낙살인,검거건수,건,-,1,,,,-,-
촉탁·승낙살인,검거율,%,-,100,,,,-,-
촉탁·승낙살인,검거인원,명,-,1,,,1,-,-
촉탁·승낙살인,남자검거인원,명,-,-,,,1,-,-
촉탁·승낙살인,여자검거인원,명,-,1,,,,-,-
촉탁·승낙살인,불상검거인원,명,-,-,,,,-,-
촉탁·승낙살인,법인체,개,-,-,,,,-,-
자살교사·방조,발생건수,건,5,5,6,2,11,8,12
자살교사·방조,검거건수,건,5,5,5,2,10,9,12
자살교사·방조,검거율,%,100,100,83.3,100,90.9,112.5,100
자살교사·방조,검거인원,명,10,7,8,4,11,18,30
자살교사·방조,남자검거인원,명,7,4,4,2,9,13,24
자살교사·방조,여자검거인원,명,3,3,3,2,2,5,6
자살교사·방조,불상검거인원,명,-,-,1,,,-,-
자살교사·방조,법인체,개,-,-,,,,-,-
위계·위력·촉탁·승낙살인,발생건수,건,-,1,,,1,-,-
위계·위력·촉탁·승낙살인,검거건수,건,-,1,,,1,-,-
위계·위력·촉탁·승낙살인,검거율,%,-,100,,,100,-,-
위계·위력·촉탁·승낙살인,검거인원,명,-,2,,,1,-,-
위계·위력·촉탁·승낙살인,남자검거인원,명,-,-,,,1,-,-
위계·위력·촉탁·승낙살인,여자검거인원,명,-,2,,,,-,-
위계·위력·촉탁·승낙살인,불상검거인원,명,-,-,,,,-,-
위계·위력·촉탁·승낙살인,법인체,개,-,-,,,,-,-
강도,발생건수,건,3994,2587,1980,1586,1446,1149,967
강도,검거건수,건,3385,2240,1857,1546,1457,1168,977
강도,검거율,%,84.8,86.6,93.8,97.5,100.8,101.7,101
강도,검거인원,명,5124,3573,2836,2224,2128,1789,1525
강도,남자검거인원,명,4380,3167,2434,1964,1842,1574,1343
강도,여자검거인원,명,510,276,252,196,220,171,144
강도,불상검거인원,명,234,130,150,64,66,44,38
강도,법인체,개,-,-,,,,-,-
강도,발생건수,건,1080,569,379,299,282,213,165
강도,검거건수,건,693,368,311,274,281,219,166
강도,검거율,%,64.2,64.7,82.1,91.6,99.6,102.8,100.6
강도,검거인원,명,593,341,277,255,233,200,166
강도,남자검거인원,명,543,312,242,221,208,190,151
강도,여자검거인원,명,29,19,26,27,21,8,14
강도,불상검거인원,명,21,10,9,7,4,2,1
강도,법인체,개,-,-,,,,-,-
준강도,발생건수,건,255,202,158,137,148,139,109
준강도,검거건수,건,236,185,154,136,147,135,111
준강도,검거율,%,92.5,91.6,97.5,99.3,99.3,97.1,101.8
준강도,검거인원,명,243,219,145,145,148,148,107
준강도,남자검거인원,명,218,195,135,130,138,134,100
준강도,여자검거인원,명,22,16,8,13,10,14,7
준강도,불상검거인원,명,3,8,2,2,,-,-
준강도,법인체,개,-,-,,,,-,-
특수강도,발생건수,건,1180,825,658,520,461,343,324
특수강도,검거건수,건,1118,743,623,505,462,349,329
특수강도,검거율,%,94.7,90.1,94.7,97.1,100.2,101.7,101.5
특수강도,검거인원,명,2036,1403,1042,852,784,707,558
특수강도,남자검거인원,명,1690,1231,907,737,660,586,479
특수강도,여자검거인원,명,234,125,94,86,91,101,59
특수강도,불상검거인원,명,112,47,41,29,33,20,20
특수강도,법인체,개,-,-,,,,-,-
준특수강도,발생건수,건,4,4,5,3,2,4,2
준특수강도,검거건수,건,4,4,5,3,2,5,2
준특수강도,검거율,%,100,100,100,100,100,125,100
준특수강도,검거인원,명,6,12,17,5,4,7,4
준특수강도,남자검거인원,명,6,9,15,5,4,7,3
준특수강도,여자검거인원,명,-,-,,,,-,1
준특수강도,불상검거인원,명,-,3,2,,,-,-
준특수강도,법인체,개,-,-,,,,-,-
강도상해·치상,발생건수,건,1185,827,669,503,486,398,311
강도상해·치상,검거건수,건,1063,773,655,504,498,403,312
강도상해·치상,검거율,%,89.7,93.5,97.9,100.2,102.5,101.3,100.3
강도상해·치상,검거인원,명,1907,1428,1149,822,838,634,595
강도상해·치상,남자검거인원,명,1630,1272,985,751,724,580,527
강도상해·치상,여자검거인원,명,202,107,116,57,94,45,59
강도상해·치상,불상검거인원,명,75,49,48,14,20,9,9
강도상해·치상,법인체,개,-,-,,,,-,-
강도살인·치사,발생건수,건,74,29,28,27,30,22,26
강도살인·치사,검거건수,건,74,30,27,27,31,22,26
강도살인·치사,검거율,%,100,103.4,96.4,100,103.3,100,100
강도살인·치사,검거인원,명,114,45,50,52,58,28,32
강도살인·치사,남자검거인원,명,107,42,41,42,50,27,28
강도살인·치사,여자검거인원,명,6,2,4,10,3,1,4
강도살인·치사,불상검거인원,명,1,1,5,,5,-,-
강도살인·치사,법인체,개,-,-,,,,-,-
해상강도(살인·치사·상해·치상),발생건수,건,1,-,,,,-,-
해상강도(살인·치사·상해·치상),검거건수,건,1,-,,,,-,-
해상강도(살인·치사·상해·치상),검거율,%,100,-,,,,-,-
해상강도(살인·치사·상해·치상),검거인원,명,13,-,,,,-,-
해상강도(살인·치사·상해·치상),남자검거인원,명,5,-,,,,-,-
해상강도(살인·치사·상해·치상),여자검거인원,명,-,-,,,,-,-
해상강도(살인·치사·상해·치상),불상검거인원,명,8,-,,,,-,-
해상강도(살인·치사·상해·치상),법인체,개,-,-,,,,-,-
인질강도,발생건수,건,29,18,23,10,12,10,7
인질강도,검거건수,건,25,15,21,9,9,11,6
인질강도,검거율,%,86.2,83.3,91.3,90,75,110,85.7
인질강도,검거인원,명,90,50,112,38,43,43,35
인질강도,남자검거인원,명,71,34,66,24,38,28,30
인질강도,여자검거인원,명,10,7,4,2,1,2,-
인질강도,불상검거인원,명,9,9,42,12,4,13,5
인질강도,법인체,개,-,-,,,,-,-
강도강간,발생건수,건,132,66,48,43,21,16,19
강도강간,검거건수,건,122,71,45,44,23,20,21
강도강간,검거율,%,92.4,107.6,93.8,102.3,109.5,125,110.5
강도강간,검거인원,명,87,58,28,41,17,18,22
강도강간,남자검거인원,명,83,55,27,41,17,18,19
강도강간,여자검거인원,명,-,-,,,,-,-
강도강간,불상검거인원,명,4,3,1,,,-,3
강도강간,법인체,개,-,-,,,,-,-
(특수·인질·해상)강도(상습),발생건수,건,-,-,,,,1,-
(특수·인질·해상)강도(상습),검거건수,건,-,-,,,,1,-
(특수·인질·해상)강도(상습),검거율,%,-,-,,,,100,-
(특수·인질·해상)강도(상습),검거인원,명,-,-,,,,1,1
(특수·인질·해상)강도(상습),남자검거인원,명,-,-,,,,1,1
(특수·인질·해상)강도(상습),여자검거인원,명,-,-,,,,-,-
(특수·인질·해상)강도(상습),불상검거인원,명,-,-,,,,-,-
(특수·인질·해상)강도(상습),법인체,개,-,-,,,,-,-
특가법(강도),발생건수,건,50,39,7,44,1,2,2
특가법(강도),검거건수,건,45,43,11,44,1,2,2
특가법(강도),검거율,%,90,110.3,157.1,100,100,100,100
특가법(강도),검거인원,명,31,11,9,13,1,2,3
특가법(강도),남자검거인원,명,23,11,9,12,1,2,3
특가법(강도),여자검거인원,명,7,-,,1,,-,-
특가법(강도),불상검거인원,명,1,-,,,,-,-
특가법(강도),법인체,개,-,-,,,,-,-
특가법(강도상해재범),발생건수,건,4,8,5,,3,1,2
특가법(강도상해재범),검거건수,건,4,8,5,,3,1,2
특가법(강도상해재범),검거율,%,100,100,100,,100,100,100
특가법(강도상해재범),검거인원,명,4,6,7,1,2,1,2
특가법(강도상해재범),남자검거인원,명,4,6,7,1,2,1,2
특가법(강도상해재범),여자검거인원,명,-,-,,,,-,-
특가법(강도상해재범),불상검거인원,명,-,-,,,,-,-
특가법(강도상해재범),법인체,개,-,-,,,,-,-
강간·강제추행,발생건수,건,19498,19670,,,,,
강간·강제추행,검거건수,건,16404,16630,,,,,
강간·강제추행,검거율,%,84.1,84.5,,,,,
강간·강제추행,검거인원,명,17936,18585,,,,,
강간·강제추행,남자검거인원,명,17388,17813,,,,,
강간·강제추행,여자검거인원,명,264,376,,,,,
강간·강제추행,불상검거인원,명,284,396,,,,,
강간·강제추행,법인체,개,-,-,,,,,
강간,발생건수,건,2538,2270,,,,,
강간,검거건수,건,2190,2050,,,,,
강간,검거율,%,86.3,90.3,,,,,
강간,검거인원,명,2150,2170,,,,,
강간,남자검거인원,명,2086,2100,,,,,
강간,여자검거인원,명,23,22,,,,,
강간,불상검거인원,명,41,48,,,,,
강간,법인체,개,-,-,,,,,
강제추행(준),발생건수,건,8081,8692,,,,,
강제추행(준),검거건수,건,5992,6386,,,,,
강제추행(준),검거율,%,74.1,73.5,,,,,
강제추행(준),검거인원,명,6290,6815,,,,,
강제추행(준),남자검거인원,명,6092,6478,,,,,
강제추행(준),여자검거인원,명,85,155,,,,,
강제추행(준),불상검거인원,명,113,182,,,,,
강제추행(준),법인체,개,-,-,,,,,
준강간,발생건수,건,586,583,,,,,
준강간,검거건수,건,526,551,,,,,
준강간,검거율,%,89.8,94.5,,,,,
준강간,검거인원,명,605,665,,,,,
준강간,남자검거인원,명,598,641,,,,,
준강간,여자검거인원,명,2,7,,,,,
준강간,불상검거인원,명,5,17,,,,,
준강간,법인체,개,-,-,,,,,
강간등상해·치상,발생건수,건,-,1200,,,,,
강간등상해·치상,검거건수,건,-,1144,,,,,
강간등상해·치상,검거율,%,-,95.3,,,,,
강간등상해·치상,검거인원,명,-,1284,,,,,
강간등상해·치상,남자검거인원,명,-,1248,,,,,
강간등상해·치상,여자검거인원,명,-,21,,,,,
강간등상해·치상,불상검거인원,명,-,15,,,,,
강간등상해·치상,법인체,개,-,-,,,,,
강간등살인·치사,발생건수,건,-,13,,,,,
강간등살인·치사,검거건수,건,-,13,,,,,
강간등살인·치사,검거율,%,-,100,,,,,
강간등살인·치사,검거인원,명,-,13,,,,,
강간등살인·치사,남자검거인원,명,-,13,,,,,
강간등살인·치사,여자검거인원,명,-,-,,,,,
강간등살인·치사,불상검거인원,명,-,-,,,,,
강간등살인·치사,법인체,개,-,-,,,,,
강간등상해,발생건수,건,414,-,,,,,
강간등상해,검거건수,건,391,-,,,,,
강간등상해,검거율,%,94.4,-,,,,,
강간등상해,검거인원,명,436,-,,,,,
강간등상해,남자검거인원,명,420,-,,,,,
강간등상해,여자검거인원,명,12,-,,,,,
강간등상해,불상검거인원,명,4,-,,,,,
강간등상해,법인체,개,-,-,,,,,
강간치상(준),발생건수,건,823,-,,,,,
강간치상(준),검거건수,건,774,-,,,,,
강간치상(준),검거율,%,94,-,,,,,
강간치상(준),검거인원,명,855,-,,,,,
강간치상(준),남자검거인원,명,835,-,,,,,
강간치상(준),여자검거인원,명,13,-,,,,,
강간치상(준),불상검거인원,명,7,-,,,,,
강간치상(준),법인체,개,-,-,,,,,
강간치사(준),발생건수,건,-,-,,,,,
강간치사(준),검거건수,건,-,-,,,,,
강간치사(준),검거율,%,-,-,,,,,
강간치사(준),검거인원,명,-,-,,,,,
강간치사(준),남자검거인원,명,-,-,,,,,
강간치사(준),여자검거인원,명,-,-,,,,,
강간치사(준),불상검거인원,명,-,-,,,,,
강간치사(준),법인체,개,-,-,,,,,
강제추행치상(준),발생건수,건,235,-,,,,,
강제추행치상(준),검거건수,건,198,-,,,,,
강제추행치상(준),검거율,%,84.3,-,,,,,
강제추행치상(준),검거인원,명,217,-,,,,,
강제추행치상(준),남자검거인원,명,212,-,,,,,
강제추행치상(준),여자검거인원,명,-,-,,,,,
강제추행치상(준),불상검거인원,명,5,-,,,,,
강제추행치상(준),법인체,개,-,-,,,,,
강간등살인,발생건수,건,7,-,,,,,
강간등살인,검거건수,건,6,-,,,,,
강간등살인,검거율,%,85.7,-,,,,,
강간등살인,검거인원,명,6,-,,,,,
강간등살인,남자검거인원,명,6,-,,,,,
강간등살인,여자검거인원,명,-,-,,,,,
강간등살인,불상검거인원,명,-,-,,,,,
강간등살인,법인체,개,-,-,,,,,
강제추행치사(준),발생건수,건,1,-,,,,,
강제추행치사(준),검거건수,건,1,-,,,,,
강제추행치사(준),검거율,%,100,-,,,,,
강제추행치사(준),검거인원,명,1,-,,,,,
강제추행치사(준),남자검거인원,명,1,-,,,,,
강제추행치사(준),여자검거인원,명,-,-,,,,,
강제추행치사(준),불상검거인원,명,-,-,,,,,
강제추행치사(준),법인체,개,-,-,,,,,
미성년자등간음·추행(심신미약자),발생건수,건,65,48,,,,,
미성년자등간음·추행(심신미약자),검거건수,건,55,46,,,,,
미성년자등간음·추행(심신미약자),검거율,%,84.6,95.8,,,,,
미성년자등간음·추행(심신미약자),검거인원,명,60,56,,,,,
미성년자등간음·추행(심신미약자),남자검거인원,명,58,56,,,,,
미성년자등간음·추행(심신미약자),여자검거인원,명,-,-,,,,,
미성년자등간음·추행(심신미약자),불상검거인원,명,2,-,,,,,
미성년자등간음·추행(심신미약자),법인체,개,-,-,,,,,
피보호자(피감호자)간음,발생건수,건,10,8,,,,,
피보호자(피감호자)간음,검거건수,건,9,9,,,,,
피보호자(피감호자)간음,검거율,%,90,112.5,,,,,
피보호자(피감호자)간음,검거인원,명,9,13,,,,,
피보호자(피감호자)간음,남자검거인원,명,9,12,,,,,
피보호자(피감호자)간음,여자검거인원,명,-,1,,,,,
피보호자(피감호자)간음,불상검거인원,명,-,-,,,,,
피보호자(피감호자)간음,법인체,개,-,-,,,,,
미성년자의제강간등,발생건수,건,46,56,,,,,
미성년자의제강간등,검거건수,건,36,49,,,,,
미성년자의제강간등,검거율,%,78.3,87.5,,,,,
미성년자의제강간등,검거인원,명,42,51,,,,,
미성년자의제강간등,남자검거인원,명,39,51,,,,,
미성년자의제강간등,여자검거인원,명,-,-,,,,,
미성년자의제강간등,불상검거인원,명,3,-,,,,,
미성년자의제강간등,법인체,개,-,-,,,,,
청소년에대한강간등,발생건수,건,1943,2474,,,,,
청소년에대한강간등,검거건수,건,1824,2257,,,,,
청소년에대한강간등,검거율,%,93.9,91.2,,,,,
청소년에대한강간등,검거인원,명,2234,2726,,,,,
청소년에대한강간등,남자검거인원,명,2148,2594,,,,,
청소년에대한강간등,여자검거인원,명,59,79,,,,,
청소년에대한강간등,불상검거인원,명,27,53,,,,,
청소년에대한강간등,법인체,개,-,-,,,,,
친족관계에의한강간,발생건수,건,201,208,,,,,
친족관계에의한강간,검거건수,건,192,207,,,,,
친족관계에의한강간,검거율,%,95.5,99.5,,,,,
친족관계에의한강간,검거인원,명,188,198,,,,,
친족관계에의한강간,남자검거인원,명,180,197,,,,,
친족관계에의한강간,여자검거인원,명,8,1,,,,,
친족관계에의한강간,불상검거인원,명,-,-,,,,,
친족관계에의한강간,법인체,개,-,-,,,,,
친족관계에의한강제추행,발생건수,건,149,184,,,,,
친족관계에의한강제추행,검거건수,건,147,180,,,,,
친족관계에의한강제추행,검거율,%,98.7,97.8,,,,,
친족관계에의한강제추행,검거인원,명,144,195,,,,,
친족관계에의한강제추행,남자검거인원,명,142,188,,,,,
친족관계에의한강제추행,여자검거인원,명,1,6,,,,,
친족관계에의한강제추행,불상검거인원,명,1,1,,,,,
친족관계에의한강제추행,법인체,개,-,-,,,,,
친족관계에의한준강간등,발생건수,건,26,26,,,,,
친족관계에의한준강간등,검거건수,건,25,27,,,,,
친족관계에의한준강간등,검거율,%,96.2,103.8,,,,,
친족관계에의한준강간등,검거인원,명,27,35,,,,,
친족관계에의한준강간등,남자검거인원,명,27,34,,,,,
친족관계에의한준강간등,여자검거인원,명,-,1,,,,,
친족관계에의한준강간등,불상검거인원,명,-,-,,,,,
친족관계에의한준강간등,법인체,개,-,-,,,,,
장애인에대한강간등,발생건수,건,494,632,,,,,
장애인에대한강간등,검거건수,건,462,601,,,,,
장애인에대한강간등,검거율,%,93.5,95.1,,,,,
장애인에대한강간등,검거인원,명,391,684,,,,,
장애인에대한강간등,남자검거인원,명,386,653,,,,,
장애인에대한강간등,여자검거인원,명,-,13,,,,,
장애인에대한강간등,불상검거인원,명,5,18,,,,,
장애인에대한강간등,법인체,개,-,-,,,,,
13세미만미성년자강간등,발생건수,건,838,819,,,,,
13세미만미성년자강간등,검거건수,건,761,749,,,,,
13세미만미성년자강간등,검거율,%,90.8,91.5,,,,,
13세미만미성년자강간등,검거인원,명,741,814,,,,,
13세미만미성년자강간등,남자검거인원,명,720,788,,,,,
13세미만미성년자강간등,여자검거인원,명,5,13,,,,,
13세미만미성년자강간등,불상검거인원,명,16,13,,,,,
13세미만미성년자강간등,법인체,개,-,-,,,,,
업무상위력등에의한추행,발생건수,건,121,160,,,,,
업무상위력등에의한추행,검거건수,건,108,161,,,,,
업무상위력등에의한추행,검거율,%,89.3,100.6,,,,,
업무상위력등에의한추행,검거인원,명,119,162,,,,,
업무상위력등에의한추행,남자검거인원,명,116,159,,,,,
업무상위력등에의한추행,여자검거인원,명,1,2,,,,,
업무상위력등에의한추행,불상검거인원,명,2,1,,,,,
업무상위력등에의한추행,법인체,개,-,-,,,,,
공중밀집장소에서의추행,발생건수,건,1651,1243,,,,,
공중밀집장소에서의추행,검거건수,건,1542,1135,,,,,
공중밀집장소에서의추행,검거율,%,93.4,91.3,,,,,
공중밀집장소에서의추행,검거인원,명,1589,1181,,,,,
공중밀집장소에서의추행,남자검거인원,명,1577,1161,,,,,
공중밀집장소에서의추행,여자검거인원,명,4,6,,,,,
공중밀집장소에서의추행,불상검거인원,명,8,14,,,,,
공중밀집장소에서의추행,법인체,개,-,-,,,,,
주거침입강간등,발생건수,건,341,323,,,,,
주거침입강간등,검거건수,건,304,319,,,,,
주거침입강간등,검거율,%,89.1,98.8,,,,,
주거침입강간등,검거인원,명,287,308,,,,,
주거침입강간등,남자검거인원,명,274,299,,,,,
주거침입강간등,여자검거인원,명,1,-,,,,,
주거침입강간등,불상검거인원,명,12,9,,,,,
주거침입강간등,법인체,개,-,-,,,,,
특수절도강간등,발생건수,건,16,23,,,,,
특수절도강간등,검거건수,건,12,22,,,,,
특수절도강간등,검거율,%,75,95.7,,,,,
특수절도강간등,검거인원,명,10,13,,,,,
특수절도강간등,남자검거인원,명,10,13,,,,,
특수절도강간등,여자검거인원,명,-,-,,,,,
특수절도강간등,불상검거인원,명,-,-,,,,,
특수절도강간등,법인체,개,-,-,,,,,
특수강도강간등,발생건수,건,279,208,,,,,
특수강도강간등,검거건수,건,282,237,,,,,
특수강도강간등,검거율,%,101.1,113.9,,,,,
특수강도강간등,검거인원,명,283,205,,,,,
특수강도강간등,남자검거인원,명,269,201,,,,,
특수강도강간등,여자검거인원,명,8,-,,,,,
특수강도강간등,불상검거인원,명,6,4,,,,,
특수강도강간등,법인체,개,-,-,,,,,
특수강간,발생건수,건,452,361,,,,,
특수강간,검거건수,건,431,356,,,,,
특수강간,검거율,%,95.4,98.6,,,,,
특수강간,검거인원,명,929,678,,,,,
특수강간,남자검거인원,명,888,628,,,,,
특수강간,여자검거인원,명,23,32,,,,,
특수강간,불상검거인원,명,18,18,,,,,
특수강간,법인체,개,-,-,,,,,
특수강제추행,발생건수,건,72,58,,,,,
특수강제추행,검거건수,건,57,50,,,,,
특수강제추행,검거율,%,79.2,86.2,,,,,
특수강제추행,검거인원,명,133,114,,,,,
특수강제추행,남자검거인원,명,113,95,,,,,
특수강제추행,여자검거인원,명,15,17,,,,,
특수강제추행,불상검거인원,명,5,2,,,,,
특수강제추행,법인체,개,-,-,,,,,
특수준강제추행,발생건수,건,105,73,,,,,
특수준강제추행,검거건수,건,76,73,,,,,
특수준강제추행,검거율,%,72.4,100,,,,,
특수준강제추행,검거인원,명,186,202,,,,,
특수준강제추행,남자검거인원,명,178,201,,,,,
특수준강제추행,여자검거인원,명,4,-,,,,,
특수준강제추행,불상검거인원,명,4,1,,,,,
특수준강제추행,법인체,개,-,-,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,발생건수,건,2,3,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,검거건수,건,2,3,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,검거율,%,100,100,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,검거인원,명,2,2,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,남자검거인원,명,2,2,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,여자검거인원,명,-,-,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,불상검거인원,명,-,-,,,,,
성폭력범죄의처벌및피해자보호등에관한법률위반,법인체,개,-,-,,,,,
업무상위력간음,발생건수,건,2,5,,,,,
업무상위력간음,검거건수,건,1,5,,,,,
업무상위력간음,검거율,%,50,100,,,,,
업무상위력간음,검거인원,명,2,1,,,,,
업무상위력간음,남자검거인원,명,2,1,,,,,
업무상위력간음,여자검거인원,명,-,-,,,,,
업무상위력간음,불상검거인원,명,-,-,,,,,
업무상위력간음,법인체,개,-,-,,,,,
강간,발생건수,건,,,5753,5078,5151,5155,5223
강간,검거건수,건,,,5481,5051,5101,5097,5134
강간,검거율,%,,,95.3,99.5,99,98.9,98.3
강간,검거인원,명,,,6019,5641,5710,5916,6012
강간,남자검거인원,명,,,5843,5516,5612,5816,5914
강간,여자검거인원,명,,,93,75,57,67,75
강간,불상검거인원,명,,,83,50,41,33,23
강간,법인체,개,,,,,,-,-
강간,발생건수,건,,,2472,2036,2049,2151,2118
강간,검거건수,건,,,2323,2019,2032,2125,2078
강간,검거율,%,,,94,99.2,99.2,98.8,98.1
강간,검거인원,명,,,2252,2007,2077,2268,2243
