죄,항목,단위,2011년,2012년,2013년,2014년,2015년,2016년,2017년
총계,검거율,%,91.2,90.6,94.7,96.3,94.4,100.6,97.6
강력범죄,검거율,%,84,84.2,88.8,94.5,96.2,96.6,96.6
살인기수,검거율,%,92.5,96.1,97.7,97.8,97.8,97.8,100
살인미수등,검거율,%,97.7,98.6,98.6,99.3,97.9,100.5,100.2
준강도,검거율,%,92.5,91.6,97.5,99.3,99.3,97.1,101.8
특수강도,검거율,%,94.7,90.1,94.7,97.1,100.2,101.7,101.5
인질강도,검거율,%,86.2,83.3,91.3,90,75,110,85.7
