,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,소재지주소
4977,B000006974,동천초등학교,초등학교,1990-03-05,공립,본교,운영,경상북도 경주시 동천동  586-10,경상북도 경주시 알천북로249번길  20(동천동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.848467600000006,129.2275884,2017-09-05,경상북도 경주시 동천동
4978,B000006975,신라초등학교,초등학교,1989-03-01,공립,본교,운영,경상북도 경주시 사정동  446-1,경상북도 경주시 금성로183번길  28(사정동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.8346408,129.204231,2017-09-05,경상북도 경주시 사정동
4979,B000006976,흥무초등학교,초등학교,1981-05-06,공립,본교,운영,경상북도 경주시 성건동  486,경상북도 경주시 금성로347번길  30(성건동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.8494102,129.2040814,2017-09-05,경상북도 경주시 성건동
4980,B000006977,황성초등학교,초등학교,1949-10-05,공립,본교,운영,경상북도 경주시 동천동  695-6,경상북도 경주시 양정로287번길  12(동천동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.8594195,129.22312069999998,2017-09-05,경상북도 경주시 동천동
4981,B000006978,용강초등학교,초등학교,1994-03-01,공립,본교,운영,경상북도 경주시 용강동  1293,경상북도 경주시 승삼2길  9(용강동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.87589439999999,129.2292792,2017-09-05,경상북도 경주시 용강동
4982,B000006979,용황초등학교,초등학교,2001-03-01,공립,본교,운영,경상북도 경주시 황성동  325-1,,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.8653434,129.22107739999998,2017-09-05,경상북도 경주시 황성동
4983,B000006980,유림초등학교,초등학교,1993-03-01,공립,본교,운영,경상북도 경주시 황성동  539-1,경상북도 경주시 용담로104번길  43-4(황성동),8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.868609,129.2129628,2017-09-05,경상북도 경주시 황성동
4984,B000006981,산대초등학교,초등학교,1997-03-01,공립,본교,운영,경상북도 경주시 안강읍 산대리  2387,경상북도 경주시 안강읍 구부랑길  54-5,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,36.002764899999995,129.1976533,2017-09-05,경상북도 경주시 안강읍
4985,B000006982,사방초등학교,초등학교,1949-10-05,공립,본교,운영,경상북도 경주시 안강읍 사방리  634,,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.93816270000001,129.2259731,2017-09-05,경상북도 경주시 안강읍
4986,B000006984,옥산초등학교,초등학교,1907-10-04,공립,본교,운영,경상북도 경주시 안강읍 옥산리  1116,경상북도 경주시 안강읍 낙헌2길  48,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.9954723,129.1691422,2017-09-05,경상북도 경주시 안강읍
4987,B000006985,안강초등학교,초등학교,1946-02-01,공립,본교,운영,경상북도 경주시 안강읍 안강리  398-1,,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.9905875,129.2291697,2017-09-05,경상북도 경주시 안강읍
4988,B000006986,안강제일초등학교,초등학교,1923-01-05,공립,본교,운영,경상북도 경주시 안강읍 양월리  1146-4,경상북도 경주시 안강읍 안강중앙로  189,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.9937951,129.22131979999997,2017-09-05,경상북도 경주시 안강읍
4989,B000006987,연안초등학교,초등학교,1963-06-29,공립,본교,운영,경상북도 경주시 외동읍 연안리  777-42,경상북도 경주시 외동읍 연안1길  15,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,,35.7277834,129.31893,2017-09-05,경상북도 경주시 외동읍
